specification,record,subject_id,lead,tau_s,baseline_cv_r2
stb_fixed_120s,s20191,s2019,1,120.0,
stb_fixed_120s,s20201,s2020,0,120.0,
stb_fixed_120s,s20211,s2021,0,120.0,
stb_fixed_120s,s20211,s2021,1,120.0,
stb_fixed_120s,s20221,s2022,0,120.0,
stb_fixed_120s,s20231,s2023,0,120.0,
stb_fixed_120s,s20231,s2023,1,120.0,
stb_fixed_120s,s20241,s2024,0,120.0,
stb_fixed_120s,s20241,s2024,1,120.0,
stb_fixed_120s,s20251,s2025,1,120.0,
stb_fixed_120s,s20261,s2026,0,120.0,
stb_fixed_120s,s20261,s2026,1,120.0,
stb_fixed_120s,s20271,s2027,0,120.0,
stb_fixed_120s,s20271,s2027,1,120.0,
stb_fixed_120s,s20272,s2027,0,120.0,
stb_fixed_120s,s20272,s2027,1,120.0,
stb_fixed_120s,s20273,s2027,0,120.0,
stb_fixed_120s,s20273,s2027,1,120.0,
stb_fixed_120s,s20274,s2027,0,120.0,
stb_fixed_120s,s20274,s2027,1,120.0,
stb_fixed_120s,s20281,s2028,0,120.0,
stb_fixed_120s,s20291,s2029,0,120.0,
stb_fixed_120s,s20291,s2029,1,120.0,
stb_fixed_120s,s20301,s2030,0,120.0,
stb_fixed_120s,s20311,s2031,0,120.0,
stb_fixed_120s,s20311,s2031,1,120.0,
stb_fixed_120s,s20331,s2033,0,120.0,
stb_fixed_120s,s20341,s2034,0,120.0,
stb_fixed_120s,s20351,s2035,0,120.0,
stb_fixed_120s,s20351,s2035,1,120.0,
stb_fixed_120s,s20361,s2036,0,120.0,
stb_fixed_120s,s20361,s2036,1,120.0,
stb_fixed_120s,s20371,s2037,0,120.0,
stb_fixed_120s,s20371,s2037,1,120.0,
stb_fixed_120s,s20381,s2038,0,120.0,
stb_fixed_120s,s20381,s2038,1,120.0,
stb_fixed_120s,s20391,s2039,0,120.0,
stb_fixed_120s,s20391,s2039,1,120.0,
stb_fixed_120s,s20401,s2040,0,120.0,
stb_fixed_120s,s20401,s2040,1,120.0,
stb_fixed_120s,s20411,s2041,0,120.0,
stb_fixed_120s,s20411,s2041,1,120.0,
stb_fixed_120s,s20421,s2042,1,120.0,
stb_fixed_120s,s20431,s2043,0,120.0,
stb_fixed_120s,s20431,s2043,1,120.0,
stb_fixed_120s,s20441,s2044,0,120.0,
stb_fixed_120s,s20441,s2044,1,120.0,
stb_fixed_120s,s20451,s2045,0,120.0,
stb_fixed_120s,s20451,s2045,1,120.0,
stb_fixed_120s,s20461,s2046,0,120.0,
stb_fixed_120s,s20461,s2046,1,120.0,
stb_fixed_120s,s20481,s2048,0,120.0,
stb_fixed_120s,s20491,s2049,0,120.0,
stb_fixed_120s,s20511,s2051,0,120.0,
stb_fixed_120s,s20511,s2051,1,120.0,
stb_fixed_120s,s20521,s2052,0,120.0,
stb_fixed_120s,s20541,s2054,0,120.0,
stb_fixed_120s,s20541,s2054,1,120.0,
stb_fixed_120s,s20551,s2055,0,120.0,
stb_fixed_120s,s20551,s2055,1,120.0,
stb_fixed_120s,s20561,s2056,0,120.0,
